Event Time, Symbol, Aggregate Trade ID, Price, Quantity, First Trade ID, Trade Time, Is Buyer Maker
1737099182905, SWARMSUSDT,3636287,0.1713,69433.0,1737099182751,False
1737099274444, SWARMSUSDT,3636617,0.1718,74051.0,1737099274412,True
1737099279337, PNUTUSDT,138445476,0.605,22256.0,1737099279180,True
1737099300430, SWARMSUSDT,3636680,0.1715,71066.0,1737099300295,False
1737099300962, PNUTUSDT,138445777,0.60447,29197.0,1737099300955,False
1737099314693, SWARMSUSDT,3636723,0.1714,106862.0,1737099314536,True
1737099356461, SWARMSUSDT,3636886,0.172,63155.0,1737099356305,False
1737099360432, SWARMSUSDT,3636900,0.1722,77589.0,1737099360416,False
1737099363150, SWARMSUSDT,3636910,0.1723,95659.0,1737099363134,False
1737099390953, SWARMSUSDT,3637036,0.1716,515624.0,1737099390947,True
1737099390957, SWARMSUSDT,3637037,0.1715,71541.0,1737099390949,True
1737099416910, SWARMSUSDT,3637149,0.1713,114587.0,1737099416851,False
1737099420318, SWARMSUSDT,3637165,0.171,72095.0,1737099420309,True
1737099420539, SWARMSUSDT,3637168,0.1711,79561.0,1737099420386,False
1737099423059, SWARMSUSDT,3637178,0.1709,73928.0,1737099423056,True
1737099487949, SWARMSUSDT,3637500,0.1701,62176.0,1737099487866,True
1737099491119, SWARMSUSDT,3637527,0.1699,72679.0,1737099491114,True
1737099491120, SWARMSUSDT,3637528,0.1698,76322.0,1737099491114,True
1737099491122, SWARMSUSDT,3637529,0.1697,68968.0,1737099491117,True
1737099493046, SWARMSUSDT,3637554,0.1695,85541.0,1737099493040,True
1737099493046, SWARMSUSDT,3637555,0.1694,101771.0,1737099493040,True
1737099493046, SWARMSUSDT,3637557,0.1692,82369.0,1737099493040,True
1737099493048, SWARMSUSDT,3637559,0.1692,103627.0,1737099493041,True
1737099493048, SWARMSUSDT,3637565,0.169,111060.0,1737099493041,True
1737099493049, SWARMSUSDT,3637579,0.1688,78490.0,1737099493043,True
1737099493050, SWARMSUSDT,3637581,0.1688,87975.0,1737099493043,True
1737099493054, SWARMSUSDT,3637583,0.1691,60771.0,1737099493047,False
1737099494045, SWARMSUSDT,3637643,0.169,74129.0,1737099494041,True
1737099494046, SWARMSUSDT,3637647,0.1688,98270.0,1737099494041,True
1737099497595, SWARMSUSDT,3637720,0.1688,85766.0,1737099497590,True
1737099497595, SWARMSUSDT,3637721,0.1687,96723.0,1737099497591,True
1737099501497, SWARMSUSDT,3637830,0.168,126372.0,1737099501492,True
1737099505046, SWARMSUSDT,3637910,0.1682,65606.0,1737099505043,True
1737099506506, SWARMSUSDT,3637937,0.1685,89952.0,1737099506379,False
1737099509236, SWARMSUSDT,3637976,0.1687,59347.0,1737099509177,False
1737099510374, SWARMSUSDT,3637991,0.1689,120327.0,1737099510371,False
1737099520208, SWARMSUSDT,3638080,0.169,79829.0,1737099520149,True
1737099576593, SWARMSUSDT,3638389,0.1696,78188.0,1737099576438,True
1737099588343, SWARMSUSDT,3638436,0.1698,72727.0,1737099588338,False
1737099600409, SWARMSUSDT,3638506,0.1692,203639.0,1737099600395,True
1737099602061, SWARMSUSDT,3638518,0.1691,61230.0,1737099601970,True
1737099604189, SWARMSUSDT,3638532,0.1693,66815.0,1737099604079,False
1737099651025, SWARMSUSDT,3638756,0.1694,65726.0,1737099650927,True
1737099665548, PNUTUSDT,138447799,0.60854,25270.0,1737099665538,False
1737099671141, PNUTUSDT,138447858,0.6091,16854.0,1737099671132,False
1737099672277, PNUTUSDT,138447872,0.60918,21581.0,1737099672225,False
1737099697550, PNUTUSDT,138448260,0.60934,20873.0,1737099697451,True
1737099708377, SWARMSUSDT,3639004,0.1698,66831.0,1737099708373,False
1737099708380, SWARMSUSDT,3639005,0.1699,59621.0,1737099708373,False
1737099718692, SWARMSUSDT,3639077,0.1693,78673.0,1737099718619,True
1737099724832, SWARMSUSDT,3639099,0.1694,89161.0,1737099724716,False
1737099730889, SWARMSUSDT,3639126,0.17,373692.0,1737099730874,False
1737099730891, SWARMSUSDT,3639130,0.17,89499.0,1737099730886,False
1737099738397, SWARMSUSDT,3639180,0.17,63252.0,1737099738393,False
1737099776233, SWARMSUSDT,3639332,0.17,76409.0,1737099776079,True
1737099797981, SWARMSUSDT,3639399,0.1703,77285.0,1737099797826,False
1737099807024, SWARMSUSDT,3639448,0.1707,61987.0,1737099807021,False
1737099829125, PNUTUSDT,138449944,0.612,149595.0,1737099829120,True
1737099829125, PNUTUSDT,138449954,0.612,36376.0,1737099829121,True
1737099831380, PNUTUSDT,138450207,0.61247,37232.0,1737099831376,True
